Make,1997,1998,1999,2000,2002,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All
BENTLEY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,1.0,1.0,-,3
TH!NK,-,-,-,-,-,-,-,3.0,-,-,-,-,-,-,-,-,-,-,-,-,3
AZURE DYNAMICS,-,-,-,-,-,-,-,4.0,3.0,-,-,-,-,-,-,-,-,-,-,-,7
GENESIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,18
FISKER,-,-,-,-,-,-,-,-,19.0,-,-,-,-,-,-,-,-,-,-,-,19
LEXUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.0,-,34
LAND ROVER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,8.0,-,-,36
LUCID MOTORS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.0,-,71
SUBARU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.0,-,-,-,24.0,82
CADILLAC,-,-,-,-,-,-,-,-,-,-,56.0,-,18.0,14.0,18.0,-,-,-,-,-,106
LINCOLN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,41.0,96.0,4.0,170
JAGUAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119.0,69.0,6.0,19.0,-,213
SMART,-,-,-,-,-,-,-,-,-,29.0,69.0,53.0,30.0,34.0,48.0,9.0,-,-,-,-,272
MERCEDES-BENZ,-,-,-,-,-,-,-,-,-,-,31.0,24.0,35.0,46.0,55.0,133.0,32.0,-,131.0,44.0,531
MITSUBISHI,-,-,-,-,-,-,-,-,43.0,-,10.0,-,11.0,1.0,182.0,144.0,93.0,8.0,89.0,-,581
POLESTAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.0,372.0,114.0,585
MINI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0,100.0,3.0,140.0,213.0,165.0,671
HONDA,-,-,-,-,-,-,-,-,-,-,10.0,-,-,-,611.0,71.0,79.0,17.0,-,-,788
FIAT,-,-,-,-,-,-,-,-,-,106.0,96.0,236.0,146.0,165.0,51.0,9.0,-,-,-,-,809
PORSCHE,-,-,-,-,-,-,-,-,-,-,8.0,32.0,78.0,71.0,80.0,61.0,142.0,145.0,203.0,1.0,821
RIVIAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,992.0,-,992
JEEP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,616.0,560.0,-,1176
HYUNDAI,-,-,-,-,-,-,-,-,-,-,-,-,42.0,46.0,19.0,117.0,210.0,188.0,638.0,278.0,1538
CHRYSLER,-,-,-,-,-,-,-,-,-,-,-,-,-,94.0,547.0,120.0,283.0,504.0,278.0,-,1826
AUDI,-,-,-,-,-,-,-,-,-,-,-,-,216.0,192.0,174.0,392.0,221.0,543.0,604.0,32.0,2374
VOLVO,-,-,-,-,-,-,-,-,-,-,-,-,112.0,118.0,230.0,193.0,185.0,635.0,977.0,1.0,2451
VOLKSWAGEN,-,-,-,-,-,-,-,-,-,-,-,124.0,320.0,54.0,36.0,494.0,-,986.0,519.0,186.0,2719
TOYOTA,-,-,-,-,2.0,-,-,-,387.0,297.0,213.0,87.0,-,890.0,649.0,190.0,315.0,945.0,467.0,3.0,4445
KIA,-,-,-,-,-,-,-,-,-,-,-,21.0,403.0,214.0,330.0,666.0,531.0,75.0,2173.0,148.0,4561
BMW,-,-,-,-,-,-,-,-,-,-,455.0,397.0,387.0,684.0,711.0,276.0,143.0,637.0,910.0,156.0,4756
FORD,-,1.0,3.0,9.0,-,-,-,-,14.0,656.0,619.0,556.0,776.0,651.0,169.0,138.0,65.0,877.0,1511.0,27.0,6072
CHEVROLET,1.0,-,-,-,-,-,-,72.0,490.0,815.0,723.0,471.0,307.0,2712.0,1115.0,949.0,1011.0,380.0,906.0,321.0,10273
NISSAN,-,-,-,-,-,-,-,753.0,608.0,1944.0,688.0,1829.0,1187.0,933.0,1227.0,1394.0,576.0,537.0,948.0,215.0,12839
TESLA,-,-,-,-,-,23.0,22.0,7.0,130.0,799.0,663.0,1083.0,1596.0,1638.0,7797.0,4622.0,6710.0,10884.0,14366.0,2334.0,52674
All,1,1,3,9,2,23,22,839,1694,4646,3641,4913,5664,8557,14099,10255,10726,18272,27078,4071,114516
