DEPARTAMENTO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,
COCAÍNA BASE,"21970,00","25714,00","28352,00","32134,00","20397,00","18258,00","12682,00","12196,00","13745,00","10483,00","9153,00","9792,00","11923,00","10125,00"
Chuquisaca,"310,00","225,00","258,00","145,00","122,00","55,00","0,00","6,00","38,00","14,00","43,00","8,00","33,00","34,00"
La Paz,"4286,00","4419,00","3750,00","2724,00","2980,00","1441,00","1245,00","1246,00","1132,00","1292,00","2131,00","1782,00","1239,00","847,00"
Cochabamba,"10271,00","9703,00","14650,00","16834,00","4018,00","4257,00","4638,00","4447,00","3838,00","2804,00","3252,00","4507,00","3793,00","2168,00"
Oruro,"1675,00","2395,00","779,00","1023,00","828,00","1016,00","959,00","307,00","860,00","1180,00","1211,00","649,00","1430,00","1075,00"
Potosí,"168,00","345,00","327,00","1276,00","455,00","802,00","311,00","419,00","791,00","1071,00","866,00","182,00","616,00","660,00"
Tarija,"352,00","239,00","309,00","385,00","167,00","62,00","70,00","68,00","157,00","163,00","68,00","59,00","177,00","213,00"
Santa Cruz,"4493,00","7892,00","8124,00","9590,00","11260,00","8135,00","4754,00","5472,00","5876,00","2667,00","1070,00","1283,00","2176,00","4081,00"
Beni,"350,00","253,00","100,00","123,00","400,00","2432,00","660,00","195,00","957,00","1252,00","483,00","1215,00","2314,00","999,00"
Pando,"64,00","242,00","55,00","35,00","165,00","58,00","45,00","37,00","96,00","41,00","29,00","107,00","145,00","48,00"
,,,,,,,,,,,,,,
CLORHIDRATO DE COCAÍNA ,"4922,00","3390,00","5615,00","4175,00","1583,00","4084,00","8602,00","17765,00","3884,00","7592,00","6404,00","5867,00","7805,00","10213,00"
Chuquisaca,"7,00","8,00","0,00","1,00","181,00","462,00","0,00","200,00","21,00",,"22,00","0,00","1,01","0,11"
La Paz,"292,00","584,00","87,00","91,00","64,00","120,00","107,00","7854,00","359,00","759,00","335,00","1805,00","1625,68","868,69"
Cochabamba,"332,00","152,00","93,00","134,00","36,00","102,00","168,00","351,00","365,00","1466,00","1702,00","526,00","1116,29","1073,21"
Oruro,"0,00","0,00","0,00","1,00","38,00","124,00","663,00","165,00","4,00","419,00","318,00","498,00","314,78","49,95"
Potosí,"0,00","0,00","23,00","0,00","1,00","33,00","1,00","31,00","20,00","0,00","126,00","39,00","335,58","74,47"
Tarija,"7,00","15,00","559,00","18,00","9,00","16,00","0,00","37,00","211,00","90,00","129,00","113,00","150,57","466,36"
Santa Cruz,"4221,00","2549,00","4719,00","3930,00","980,00","2952,00","7629,00","9002,00","1785,00","3913,00","3520,00","1453,00","2089,91","4183,35"
Beni,"6,00","64,00","116,00","0,00","264,00","206,00","0,00","112,00","1088,00","856,00","251,00","1406,00","2145,14","3482,79"
Pando,"58,00","17,00","18,00","1,00","10,00","68,00","34,00","13,00","32,00","28,00","0,00","29,00","26,35","14,51"
,,,,,,,,,,,,,,
MARIHUANA ,"1937412,00","1073326,00","382200,00","407431,00","76512,00","173030,00","83598,00","118136,00","215633,00","240060,00","245230,00","464212,00","190735,00","190729,00"
Chuquisaca,"40762,00","44070,00","48188,00","24054,00","84,00","25901,00","864,00","2536,00","22963,00","5886,00","1540,00","15201,00","21960,00","32158,00"
La Paz,"518150,00","186645,00","264760,00","92517,00","188,00","106,00","4518,00","613,00","842,00","4951,00","3455,00","61591,00","27255,00","5418,00"
Cochabamba,"1136036,00","807545,00","42153,00","34301,00","17114,00","123571,00","31994,00","75294,00","92537,00","176553,00","141215,00","270169,00","126017,00","143160,00"
Oruro,"89,00","253,00","416,00","915,00","572,00","611,00","2147,00","631,00","1373,00","811,00","1325,00","623,00","1955,00","3034,00"
Potosí,"247,00","600,00","320,00","925,00","1972,00","2170,00","4160,00","2879,00","3728,00","994,00","986,00","840,00","2359,00","1924,00"
Tarija,"1925,00","301,00","10031,00","248,00","5121,00","5959,00","12130,00","3350,00","2897,00","1927,00","464,00","972,00","1179,00","736,00"
Santa Cruz,"207155,00","12083,00","16302,00","252080,00","51430,00","10326,00","24134,00","31162,00","86449,00","39746,00","92783,00","102980,00","9887,00","2508,00"
Beni,"33042,00","21829,00","30,00","2391,00","17,00","4385,00","3637,00","1670,00","4841,00","9113,00","3434,00","11796,00","83,00","1729,00"
Pando,"5,00","0,00","0,00","0,00","13,00","1,00","13,00","2,00","2,00","79,00","26,00","40,00","40,00","62,00"
