"Se fué el erudito Iglesias pero dejó a su banda, basura comunista.","Gijón, London , LA."
@ClaRosignoli Comunista col Rolex.,"Piacenza, Emilia Romagna"
@Junco_Ce @iarqsirius @Puer_Hispano «Fascista» o «comunista» se han convertido en insultos. No tiene nada que ver con esas doctrinas políticas. El insulto no es una forma no-argumentativa sino una manera de mirar las sombras en la cueva y negarse a seguir indagando en la realidad. https://t.co/qhZxJuXdIg,Spexit
"@andres20ad El mayor dictador asesino, era un comunista. https://t.co/JDxaVrydML",
@JorgeZa79953991 @DinaErcilia @LuchoXBolivia Con esto quedas como tipica vende patria comunista,
"@PolitologoDeM Si webea y vive como buena, es comunista… está en su ley la muy HDP. Mientras los peruanos serios pagamos impuestos para mantener a estas lacras en lugar que ese dinero vaya a los pobres y hacer obras. Ya saben pobres y pobres cojudos por quien no votar y ante quien marchar ???","Miraflores, Peru"
"Orcos celebrando a una antisocial 
Típico de zurdo comunista https://t.co/4rmKfgro5r",En #LaMagiaDelSur
@danieljadue Como si fueran de mucha calidad el armamento comunista,"chile, maule, curicó"
"@delosquesobran Que tiene ver chile SDW, está claro en discurso lo que dijo gente de zona en su país cuba no chile, programa culio tratado de defender una dictadura comunista que en la actualidad sigue una vergüenza de programa.","Curicó, Chile"
"@MariaFdaCabal Definitivamente ,El guerrillero psicopata Comunista es muy BESTIA .Muchos libros y peliculas de FANTASIA .Ademas con desordenes MENTALES ,Este NEFASTO personaje es una VERGÜENZA, como Presidente para COLOMBIA .",
"@ClaudiaDides Y Boric es perfecto, único e inigualable jajajajajajaja vieja comunista care raja","Santiago, Chile"
"@Amarillos_Chile El clima en el q surge amarillos era muy difícil. El país polarizado, la gente decepcionada de su sector político tanto de centro izquierda como de centro derecha y la violencia tomándose de los espacios públicos. Gracias x las alertas q nos salvaron de 1 Constitución comunista.","Providencia, Chile"
"@UJCdeCuba @aylinalvarezG @DrRobertoMOjeda @ArzuagaReyes @mirthiajulia @SunielSosa @PartidoPCC @Grecia_Jpsuv Sigan jugando a que es 🆒 ser comunista, no lo es y es ilegal en muchos países por que detrás de ustedes o tontos o oportunistas,están los capos los gordos del pcc,traficantes del miedo y la sedición.el comunismo es la fórmula maligna para destruir la familia y las naciones",
"@petrogustavo Ustedes no piensan solo repiten la receta comunista del foro de São Paulo y el grupo de puebla, que repiten la receta castrochavista de miseria y destrucción de los Castro y Chávez","ÜT: 10.491527,-66.853277"
"@DavidVargasA18 ZÁNGANO, PARÁSITO Y LIMOSNERO, SOLO ERES UN COMUNISTA GUEVON Y MANTENIDO",
"@colomba_huacha Una empresa estatal, siendo una empresa estatal.... Ahora entiendes por qué el estatismo comunista nunca ha podido funcionar??",
